DATAFLOW,LAST UPDATE,freq,sex,age,citizen,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU27_2020,2017,5.9,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU27_2020,2018,6.2,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU27_2020,2019,6.7,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU27_2020,2020,7.5,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU27_2020,2021,7.6,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU28,2011,5.9,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU28,2012,6.6,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU28,2013,6.1,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU28,2014,7,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU28,2015,7.2,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU28,2016,6.4,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU28,2017,5.8,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU28,2018,5.9,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,EU28,2019,6.4,e
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,FI,2011,5.1,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,FI,2012,1.6,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,FI,2013,2.2,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,FI,2014,2.2,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,FI,2015,8.7,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,FI,2016,5,
ESTAT:HLTH_SILC_24(1.0),20/12/22 23:00:00,A,T,Y_GE16,FOR,B_VB,PC,FI,2017,6.7,
